--- Slice performance for feature: workclass ---
workclass: ?, n=363, precision=0.7083, recall=0.4722, fbeta=0.5667
workclass: Federal-gov, n=195, precision=0.7347, recall=0.4737, fbeta=0.5760
workclass: Local-gov, n=389, precision=0.7732, recall=0.6250, fbeta=0.6912
workclass: Never-worked, n=1, precision=1.0000, recall=1.0000, fbeta=1.0000
workclass: Private, n=4597, precision=0.8288, recall=0.5421, fbeta=0.6555
workclass: Self-emp-inc, n=222, precision=0.7895, recall=0.7627, fbeta=0.7759
workclass: Self-emp-not-inc, n=500, precision=0.8224, recall=0.6154, fbeta=0.7040
workclass: State-gov, n=245, precision=0.7500, recall=0.6818, fbeta=0.7143
workclass: Without-pay, n=1, precision=1.0000, recall=1.0000, fbeta=1.0000

--- Slice performance for feature: education ---
education: 10th, n=204, precision=1.0000, recall=0.2000, fbeta=0.3333
education: 11th, n=244, precision=1.0000, recall=0.2727, fbeta=0.4286
education: 12th, n=79, precision=1.0000, recall=0.2500, fbeta=0.4000
education: 1st-4th, n=28, precision=1.0000, recall=0.5000, fbeta=0.6667
education: 5th-6th, n=51, precision=1.0000, recall=1.0000, fbeta=1.0000
education: 7th-8th, n=120, precision=1.0000, recall=0.0000, fbeta=0.0000
education: 9th, n=106, precision=1.0000, recall=0.1429, fbeta=0.2500
education: Assoc-acdm, n=191, precision=1.0000, recall=0.4364, fbeta=0.6076
education: Assoc-voc, n=274, precision=0.9355, recall=0.3412, fbeta=0.5000
education: Bachelors, n=1096, precision=0.7391, recall=0.8558, fbeta=0.7932
education: Doctorate, n=84, precision=0.9016, recall=0.8730, fbeta=0.8871
education: HS-grad, n=2120, precision=0.9512, recall=0.2301, fbeta=0.3705
education: Masters, n=318, precision=0.8446, recall=0.8956, fbeta=0.8693
education: Preschool, n=9, precision=1.0000, recall=1.0000, fbeta=1.0000
education: Prof-school, n=114, precision=0.8211, recall=0.9398, fbeta=0.8764
education: Some-college, n=1475, precision=0.8000, recall=0.3143, fbeta=0.4513

--- Slice performance for feature: marital-status ---
marital-status: Divorced, n=883, precision=0.9643, recall=0.2621, fbeta=0.4122
marital-status: Married-AF-spouse, n=5, precision=1.0000, recall=0.0000, fbeta=0.0000
marital-status: Married-civ-spouse, n=2977, precision=0.7965, recall=0.6189, fbeta=0.6966
marital-status: Married-spouse-absent, n=86, precision=1.0000, recall=0.0000, fbeta=0.0000
marital-status: Never-married, n=2181, precision=1.0000, recall=0.3483, fbeta=0.5167
marital-status: Separated, n=199, precision=1.0000, recall=0.3750, fbeta=0.5455
marital-status: Widowed, n=182, precision=1.0000, recall=0.3636, fbeta=0.5333

--- Slice performance for feature: occupation ---
occupation: ?, n=364, precision=0.7083, recall=0.4722, fbeta=0.5667
occupation: Adm-clerical, n=819, precision=0.7091, recall=0.3171, fbeta=0.4382
occupation: Armed-Forces, n=3, precision=1.0000, recall=1.0000, fbeta=1.0000
occupation: Craft-repair, n=800, precision=0.7568, recall=0.3043, fbeta=0.4341
occupation: Exec-managerial, n=808, precision=0.8584, recall=0.7442, fbeta=0.7973
occupation: Farming-fishing, n=203, precision=0.8000, recall=0.3810, fbeta=0.5161
occupation: Handlers-cleaners, n=252, precision=0.5000, recall=0.2500, fbeta=0.3333
occupation: Machine-op-inspct, n=392, precision=0.9286, recall=0.2500, fbeta=0.3939
occupation: Other-service, n=684, precision=1.0000, recall=0.1667, fbeta=0.2857
occupation: Priv-house-serv, n=20, precision=1.0000, recall=1.0000, fbeta=1.0000
occupation: Prof-specialty, n=818, precision=0.8064, recall=0.8444, fbeta=0.8250
occupation: Protective-serv, n=121, precision=0.7619, recall=0.3810, fbeta=0.5079
occupation: Sales, n=718, precision=0.7887, recall=0.5490, fbeta=0.6474
occupation: Tech-support, n=189, precision=0.7857, recall=0.3860, fbeta=0.5176
occupation: Transport-moving, n=322, precision=0.7500, recall=0.1967, fbeta=0.3117

--- Slice performance for feature: relationship ---
relationship: Husband, n=2607, precision=0.7860, recall=0.6216, fbeta=0.6942
